iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,40901.6,tonnes,annual,2023-10-03 21:10:36.170015,
AFG,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.170004,
AFG,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1112523.52,tonnes,annual,2023-10-03 21:10:36.170032,
AFG,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,3304849.28,tonnes,annual,2023-10-03 21:10:36.170039,
AFG,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.170023,
AFG,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,29678.6,tonnes,annual,2023-10-03 21:10:36.327505,
AFG,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.327495,
AFG,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,807257.92,tonnes,annual,2023-10-03 21:10:36.327521,2023-11-06 17:00:17.05257
AFG,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2398030.88,tonnes,annual,2023-10-03 21:10:36.327529,
AFG,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.327512,
AFG,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,27297.3288,tonnes,annual,2023-10-03 21:10:36.497519,
AFG,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.497509,
AFG,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,742487.34336,tonnes,annual,2023-10-03 21:10:36.497535,2023-11-06 17:00:17.123133
AFG,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,2205624.16704,tonnes,annual,2023-10-03 21:10:36.497542,2023-10-26 21:55:51.634468
AFG,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.497526,
AFG,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,29314.2266,tonnes,annual,2023-10-03 21:10:36.658733,
AFG,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.658723,
AFG,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,797346.96352,tonnes,annual,2023-10-03 21:10:36.658749,2023-10-26 21:55:51.695779
AFG,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2368589.50928,tonnes,annual,2023-10-03 21:10:36.658757,2023-10-26 21:55:51.695779
AFG,agriculture,rice-cultivation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.65874,
AFG,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,31805.982,tonnes,annual,2023-10-03 21:10:36.811396,
AFG,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.811386,
AFG,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,865122.7104,tonnes,annual,2023-10-03 21:10:36.811412,
AFG,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,2569923.3456,tonnes,annual,2023-10-03 21:10:36.81142,2023-10-26 21:55:51.816356
AFG,agriculture,rice-cultivation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.811404,
AFG,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,36800.217,tonnes,annual,2023-10-03 21:10:36.96613,
AFG,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.96612,
AFG,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1000965.9024,tonnes,annual,2023-10-03 21:10:36.966146,2023-10-26 21:55:51.875559
AFG,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,2973457.5336,tonnes,annual,2023-10-03 21:10:36.966154,2023-10-26 21:55:51.875559
AFG,agriculture,rice-cultivation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.966138,
AFG,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,38033.2506,tonnes,annual,2023-10-03 21:10:37.19188,
AFG,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:37.19187,
AFG,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1034504.41632,tonnes,annual,2023-10-03 21:10:37.191897,2023-10-26 21:55:51.930999
AFG,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,3073086.64848,tonnes,annual,2023-10-03 21:10:37.191905,2023-10-26 21:55:51.930999
AFG,agriculture,rice-cultivation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:37.191888,
AFG,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,38033.2506,tonnes,annual,2023-10-03 21:10:37.374376,
AFG,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:37.374366,
AFG,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1034504.41632,tonnes,annual,2023-10-03 21:10:37.374392,2023-10-26 21:55:51.991264
AFG,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,3073086.64848,tonnes,annual,2023-10-03 21:10:37.374408,2023-10-26 21:55:51.991264
AFG,agriculture,rice-cultivation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:37.374383,
AGO,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,377.19066,tonnes,annual,2023-10-03 21:10:36.170637,
AGO,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.170627,
AGO,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,10259.585952,tonnes,annual,2023-10-03 21:10:36.170653,2023-10-26 21:55:49.470404
AGO,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,30477.005328,tonnes,annual,2023-10-03 21:10:36.17066,2023-10-26 21:55:49.470404
AGO,agriculture,rice-cultivation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.170644,
AGO,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,201.49272,tonnes,annual,2023-10-03 21:10:36.32809,
AGO,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.32808,
AGO,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,5480.601984,tonnes,annual,2023-10-03 21:10:36.328116,2023-11-06 17:00:17.05257
AGO,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,16280.611776,tonnes,annual,2023-10-03 21:10:36.328124,2023-11-06 17:00:17.05257
AGO,agriculture,rice-cultivation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.328107,
AGO,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,136.83648,tonnes,annual,2023-10-03 21:10:36.498103,
AGO,agriculture,rice-cultivation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.498093,
